FIPS,Socioeconomic,Housing - Disability,Minority Status - Language,Housing - Transportation,SVI INDEX
48201550603,0.6758,0.3142,0.9592,0.5135,0.6587
48201550700,0.541,0.451,0.8263,0.2053,0.4962
48201550800,0.8266,0.3964,0.938,0.4322,0.7173
48201550900,0.6988,0.3246,0.8444,0.2042,0.5482
48201551000,0.8586,0.3847,0.948,0.2577,0.6741
48201551100,0.7048,0.4221,0.8925,0.8762,0.7996
48201551200,0.597,0.6124,0.7371,0.3305,0.5785
48201551300,0.2352,0.0554,0.7348,0.3379,0.2593
48201551400,0.1759,0.2728,0.6871,0.4548,0.3374
48201551500,0.3587,0.3411,0.7034,0.5318,0.4747
48201551600,0.4096,0.1688,0.7809,0.7595,0.5395
48201551701,0.1141,0.1182,0.579,0.1082,0.1296
48201551702,0.0892,0.0648,0.4772,0.0,0.0161
48201551703,0.1379,0.0314,0.645,0.1437,0.1161
48201551800,0.0635,0.1788,0.2401,0.1779,0.0967
48201551900,0.601,0.2372,0.6679999999999999,0.5172,0.5372
48201552001,0.2559,0.2508,0.6236,0.3992,0.3322
48201552002,0.1836,0.1541,0.4682,0.0656,0.1134
48201552101,0.1943,0.1435,0.6257,0.1938,0.2134
48201552102,0.2283,0.3723,0.5002,0.0457,0.1662
48201552103,0.3002,0.5593,0.4541,0.062,0.228
48201552200,0.4982,0.4074,0.5431,0.9482,0.6629999999999999
48201552301,0.1304,0.5905,0.0438,0.0729,0.1021
48201552302,0.2181,0.1686,0.5452,0.4895,0.3006
48201552400,0.512,0.7283,0.6288,0.6275,0.6236
48201552500,0.3879,0.3351,0.6221,0.4817,0.4497
48201552601,0.5114,0.6474,0.6295,0.5857,0.5979
48201552602,0.1372,0.1019,0.3647,0.4717,0.2075
48201552700,0.1788,0.1148,0.4545,0.8035,0.3378
48201552800,0.1492,0.1918,0.2107,0.1961,0.1326
48201552900,0.1381,0.7321,0.2807,0.1528,0.2209
48201553001,0.2062,0.2056,0.6075,0.5427,0.3392
48201553002,0.2354,0.5388,0.7285,0.3798,0.4169
48201553100,0.3616,0.4629,0.5557,0.5634,0.4724
48201553200,0.5475,0.7952,0.606,0.8661,0.7301
48201553300,0.5686,0.529,0.7553,0.8812,0.7288
48201553401,0.1297,0.2719,0.252,0.0079,0.0384
48201553402,0.23399999999999999,0.0345,0.4642,0.165,0.1271
48201553403,0.1682,0.0889,0.3729,0.0881,0.0885
48201553500,0.2246,0.2985,0.2675,0.0188,0.0791
48201553600,0.1826,0.0795,0.3812,0.379,0.1923
48201553700,0.2095,0.1937,0.3574,0.39399999999999996,0.2363
48201553801,0.179,0.1058,0.4767,0.4623,0.237
48201553802,0.2235,0.3752,0.4677,0.4751,0.3345
48201553900,0.1174,0.3388,0.2696,0.105,0.1238
48201554001,0.061,0.7816,0.5059,0.6187,0.401
48201554002,0.1218,0.1876,0.23399999999999999,0.0115,0.0284
48201554101,0.1866,0.6603,0.2164,0.0069,0.0893
48201554102,0.0833,0.0688,0.4365,0.1007,0.0716
48201554200,0.3491,0.1715,0.5616,0.4596,0.3524
48201554301,0.1003,0.2934,0.0327,0.0856,0.0595
48201554302,0.1984,0.3702,0.473,0.1013,0.1935
48201554401,0.0405,0.1472,0.2348,0.0461,0.0334
48201554402,0.0731,0.1529,0.371,0.1934,0.12300000000000001
48201554403,0.1134,0.4758,0.3944,0.1019,0.1643
48201554501,0.0777,0.2454,0.2918,0.0434,0.0576
48201554502,0.0138,0.3573,0.1106,0.0,0.0102
48201554600,0.0973,0.073,0.0852,0.0221,0.0109
48201554700,0.1191,0.1558,0.1728,0.1315,0.0835
48201554801,0.4493,0.28800000000000003,0.5631,0.649,0.4965
48201554802,0.2156,0.3152,0.2719,0.2907,0.2236
48201554901,0.2524,0.2721,0.5777,0.2408,0.2775
48201554902,0.0439,0.2449,0.2113,0.0983,0.0681
48201554903,0.0683,0.1943,0.3073,0.0209,0.0355
48201555000,0.3278,0.2859,0.2752,0.0566,0.1587
48201555100,0.2031,0.3468,0.5425,0.1213,0.2154
