,FIPS,year,population,poverty-rate,median-household-income,median-property-value,evictions,eviction-rate
41065,48029181303,2016,3654.0,48.31,24336.0,214500.0,71.0,5.34
41082,48029181402,2016,2443.0,39.58,20737.0,109400.0,25.0,2.51
41099,48029181403,2016,7179.0,0.0,45391.0,104500.0,79.0,2.88
41116,48029181404,2016,5197.0,7.82,52699.0,124100.0,51.0,2.02
41133,48029181503,2016,7014.0,14.09,49013.0,144400.0,48.0,1.92
41150,48029181504,2016,5952.0,12.0,38046.0,139000.0,152.0,5.66
41167,48029181505,2016,4786.0,3.26,63236.0,125900.0,16.0,3.56
41184,48029181506,2016,4263.0,7.05,46285.0,142000.0,99.0,8.36
41201,48029181601,2016,3192.0,6.84,47297.0,99600.0,13.0,2.01
41218,48029181602,2016,6318.0,20.19,38772.0,99900.0,149.0,12.13
41235,48029181703,2016,7362.0,8.23,65725.0,180600.0,4.0,0.36
41252,48029181704,2016,6053.0,11.51,52277.0,113300.0,21.0,3.05
41269,48029181705,2016,5558.0,12.42,32348.0,122500.0,24.0,1.58
41286,48029181711,2016,8416.0,2.64,82485.0,147600.0,11.0,2.14
41303,48029181712,2016,3931.0,5.91,74957.0,142000.0,6.0,2.12
41320,48029181713,2016,7903.0,16.28,62530.0,125500.0,29.0,3.35
41337,48029181715,2016,6237.0,9.82,48299.0,99000.0,15.0,2.4
41354,48029181716,2016,7899.0,13.92,51400.0,93000.0,28.0,2.84
41371,48029181718,2016,5839.0,8.58,72755.0,138800.0,3.0,1.01
41388,48029181720,2016,5098.0,0.73,97165.0,192700.0,2.0,1.48
41405,48029181721,2016,3954.0,10.18,74219.0,146000.0,6.0,3.43
41422,48029181722,2016,4928.0,2.03,78533.0,146200.0,7.0,1.87
41439,48029181723,2016,5181.0,6.64,71655.0,120000.0,5.0,1.56
41456,48029181724,2016,5691.0,1.1,95329.0,169000.0,0.0,0.0
41473,48029181725,2016,5404.0,16.02,36136.0,117100.0,74.0,4.02
41490,48029181726,2016,10231.0,2.8,80679.0,158300.0,19.0,3.04
41507,48029181727,2016,3665.0,9.5,60545.0,115600.0,22.0,5.09
41524,48029181728,2016,11197.0,6.71,60250.0,135200.0,34.0,2.78
41541,48029181729,2016,5554.0,3.49,82992.0,175400.0,5.0,1.98
41558,48029181730,2016,4100.0,4.02,54676.0,122700.0,13.0,2.65
41575,48029181731,2016,7510.0,0.85,71729.0,127800.0,7.0,1.69
41592,48029181808,2016,1643.0,29.73,43822.0,248900.0,13.0,2.43
